id,text
47,오늘 인천의 자전거 도로는 기상 악화로 인해 폐쇄되었습니다.
48,이번 년도 광주의 지하철은 교통 체증으로 인해 지연되고 있습니다.
49,내일 울산의 버스는 도로 공사로 인해 운행에 지장이 있습니다.
50,오늘 경기도의 택시는 대기 오염으로 인해 운행이 제한됩니다.
51,이번 주 충청도의 시내버스는 기상 악화로 인해 운행 시간이 변경됩니다.
52,어제 서울의 버스는 교통 체증으로 인해 지연되었습니다.
53,오늘 부산의 지하철은 대기 오염으로 인해 혼잡합니다.
54,내일 대구의 고속도로는 도로 공사로 인해 정체가 예상됩니다.
55,이번 달 인천의 자전거 도로는 교통 사고로 인해 폐쇄되었습니다.
56,어제 광주의 시내버스는 기상 악화로 인해 운행이 중단되었습니다.
57,오늘 울산의 택시는 대기 오염으로 인해 운행에 지장이 있습니다.
58,이번 년도 경기도의 지하철은 교통 체증으로 인해 지연되고 있습니다.
59,내일 충청도의 버스는 도로 공사로 인해 운행 시간이 변경됩니다.
60,오늘 서울의 자전거 도로는 대기 오염으로 인해 혼잡합니다.
61,이번 주 부산의 택시는 기상 악화로 인해 운행이 제한됩니다.
62,어제 대구의 버스는 교통 사고로 인해 지연되었습니다.
63,오늘 인천의 고속도로는 도로 공사로 인해 정체가 발생했습니다.
64,이번 달 광주의 지하철은 대기 오염으로 인해 운행이 지연됩니다.
65,내일 울산의 시내버스는 교통 체증으로 인해 지연됩니다.
66,어제 경기도의 택시는 기상 악화로 인해 운행이 제한되었습니다.
67,오늘 충청도의 자전거 도로는 도로 공사로 인해 폐쇄되었습니다.
68,이번 년도 서울의 버스는 대기 오염으로 인해 혼잡이 예상됩니다.
69,내일 부산의 지하철은 교통 사고로 인해 지연됩니다.
70,어제 대구의 고속도로는 기상 악화로 인해 정체가 발생했습니다.
71,오늘 인천의 버스는 교통 체증으로 인해 지연되고 있습니다.
72,이번 주 광주의 택시는 도로 공사로 인해 운행 시간이 변경됩니다.
73,어제 울산의 지하철은 대기 오염으로 인해 혼잡합니다.
74,오늘 경기도의 버스는 기상 악화로 인해 운행에 지장이 있습니다.
75,이번 달 충청도의 택시는 도로 공사로 인해 운행이 제한됩니다.
76,내일 서울의 지하철은 교통 사고로 인해 지연될 것입니다.
77,어제 부산의 버스는 대기 오염으로 인해 지연되었습니다.
78,오늘 대구의 시내버스는 기상 악화로 인해 운행이 중단되었습니다.
79,이번 년도 인천의 택시는 도로 공사로 인해 혼잡이 예상됩니다.
80,내일 광주의 고속도로는 교통 체증으로 인해 지연됩니다.
81,어제 울산의 자전거 도로는 대기 오염으로 인해 폐쇄되었습니다.
82,오늘 경기도의 지하철은 교통 사고로 인해 지연되고 있습니다.
83,이번 주 충청도의 버스는 기상 악화로 인해 운행 시간이 변경됩니다.
84,내일 서울의 버스는 도로 공사로 인해 혼잡할 것입니다.
85,어제 부산의 자전거 도로는 대기 오염으로 인해 폐쇄되었습니다.
86,오늘 대구의 지하철은 기상 악화로 인해 지연됩니다.
87,이번 달 인천의 버스는 교통 체증으로 인해 운행에 지장이 있습니다.
88,내일 광주의 택시는 도로 공사로 인해 운행이 제한됩니다.
89,어제 울산의 버스는 대기 오염으로 인해 지연되었습니다.
90,오늘 경기도의 택시는 교통 사고로 인해 운행이 중단되었습니다.
91,이번 년도 충청도의 지하철은 기상 악화로 인해 지연됩니다.
92,내일 서울의 시내버스는 도로 공사로 인해 혼잡할 것입니다.
93,내일 서울의 시내버스는 도로 공사로 인해 혼잡할 것입니다.
94,이번 주말 부산의 지하철은 대기 오염으로 인해 운행이 지연됩니다.
95,어제 대구의 버스는 교통 사고로 인해 운행에 지장이 있었습니다.
96,오늘 인천의 택시는 기상 악화로 인해 운행이 제한됩니다.
97,이번 년도 광주의 시내버스는 도로 공사로 인해 운행 시간이 변경되었습니다.
98,내일 울산의 자전거 도로는 대기 오염으로 인해 폐쇄될 예정입니다.
99,어제 경기도의 지하철은 교통 체증으로 인해 지연되었습니다.
100,오늘 충청도의 버스는 기상 악화로 인해 운행에 지장이 있습니다.
